gpas,epas,cm,gmax_h,fastRate_h
3.30863499105336E-05,-74.4257394264755,1.44330006094348,0.000247881792699,0.149664388259695
2.02805259856154E-05,-81.3884767667833,1.3942104409438,0.000288570723521,0.318790759609138
3.97502618457132E-05,-71.8128679442649,1.4070747726076,0.000206187813426,0.069171209074976
3.41123033623028E-05,-74.2092376758889,1.37954515477846,0.000262471381268,0.172416972350065
3.1454961897856E-05,-74.6126705343966,1.44617487732732,0.000251409348536,0.180731919968348
3.94187843105179E-05,-72.6851763197916,1.37903999775504,0.000239688680158,0.042249188050567
3.90340522558204E-05,-72.0548598434381,1.42927793760886,0.000220841609613,0.078660906313939
3.12121822209716E-05,-74.8113935169737,1.41727427256867,0.000252883379459,0.178619786269474
3.02887062372898E-05,-74.7685059312049,1.39216805369529,0.000242269923049,0.186181236807604
3.32363728198388E-05,-73.9270498835432,1.41978612109801,0.000238219502079,0.147217156409076
3.92431685215147E-05,-72.139346302693,1.40493990826574,0.000216920308899,0.07329741303954
3.54840581714658E-05,-73.2341167369853,1.39565461538014,0.000232464870185,0.129241915123917
2.27985173447455E-05,-79.5812104988002,1.44872089878393,0.000282228019977,0.258044236609272
3.64073737095889E-05,-72.9889864363118,1.43886108945364,0.000232616146721,0.107151624520228
2.43590510170983E-05,-78.3571674447894,1.39819876564787,0.000272933052052,0.257833556246125
3.11997587095098E-05,-74.9428810731122,1.47900560783472,0.000249851110269,0.176951306962481
3.44714839334805E-05,-73.8236218372573,1.3527090691659,0.000244517653832,0.15197706026494
3.67414826302308E-05,-73.0842843263535,1.44897417309182,0.000226270483919,0.112953900756012
2.55517933800248E-05,-77.8978033777414,1.53313399537531,0.000277492849876,0.227153924160579
3.83199456556089E-05,-72.4392910811102,1.44278104285111,0.00022073022645,0.084843918012782
