gpas,epas,cm,gmax_h,fastRate_h
1.51863728484245E-05,-73.9804173311036,0.651639249994039,0.000108315364011,0.17258191866081
1.93534611103037E-05,-72.1986878762155,0.703788392239126,0.000103885664461,0.057226225297539
1.72874427052077E-05,-72.34432998532,0.61064161403827,9.73766959797692E-05,0.128215995187205
1.02218520175755E-05,-79.4278986654152,0.667483776224528,0.000123897727154,0.342129480746382
1.91080089645902E-05,-71.558995276541,0.627091550497766,9.27499162466225E-05,0.046955119959967
1.68371585414768E-05,-72.7992316302838,0.658860826085461,0.000100970298182,0.131930453549807
1.67093685494845E-05,-73.2960394769845,0.639530925751162,0.000108538388822,0.144158038653688
1.70664007411449E-05,-72.6617214238995,0.660055161765401,0.000102167403668,0.116405645784138
1.84176918537752E-05,-71.7210069841668,0.654051072904113,9.44892415690735E-05,0.080140001712067
1.63045143848688E-05,-72.6420959145104,0.644677014806811,0.000101367859049,0.133862299951263
1.62586177174718E-05,-73.2786979335212,0.665140032368345,0.000105868366087,0.137461622047485
8.21207108064704E-06,-84.2732626213926,0.613568283252091,0.000138102674723,0.366850221500524
8.50568208666456E-06,-83.6200057927362,0.641270953850738,0.000136713520546,0.335021913956936
1.76391046709392E-05,-72.37707144583,0.668412331860169,9.95595165700093E-05,0.09963495230127
2.21438888757695E-05,-70,0.664234122068927,8.39251140530772E-05,0.01
1.80534367529949E-05,-71.9451205340359,0.652281121983474,9.57298853845991E-05,0.090912391989751
1.70204506285781E-05,-72.9128566176841,0.647408945035184,0.000103514626602,0.131850931021781
1.97111024482588E-05,-71.0722317277006,0.632676710184735,9.02905829094056E-05,0.047877658700982
1.08468339200534E-05,-79.1450645701857,0.614047870252505,0.000132819060479,0.291241003456695
1.69956629902464E-05,-72.6019378934444,0.640174587899525,0.00010029029734,0.120596218080568
